,BRAND,MODEL GROUP,"REFERENCE/
PART NO",Model,DESCRIPTION,UOM,Country of Origin,"Tariff 
code",Height (cm),Width (cm),Depth (cm),"Gross 
Weight (kg)",Net Weight (kg)
1,ECLER,Extenders,CVEOXRT44,VEO-XRT44,4K 18Gbps HDBaseT Extender/Scaler - Receiver 18Gbps,Pcs,China,8517620000,11.9,17.5,11,0.7,0.3
1,ECLER,Video Distribution Over IP,CVEOXTI1CG2,VEO-XTI1CG2,H.265 FullHD Over IP Video Extender TX ( Encoder),Pcs,China,8517620000,7.5,18.8,13.7,1,0.47
1,ECLER,Video Distribution Over IP,CVEOXTI2L,VEO-XTI2L,4K Low Latency Over IP Video Extender-RX(Encoder),Pcs,China,8517620000,8,32,17,0.6,0.28
1,ECLER,Video Distribution Over IP,CVEOXTI4D,VEO-XTI4D,JPEG2000 4K Over IP Video Transmitter,Pcs,China,8517620000,TBC,TBC,TBC,TBC,TBC
1,ECLER,Extenders,CVEOXTT44,VEO-XTT44,4K 18Gbps HDBaseT Extender/Scaler- Transmitter 18Gbps,Pcs,China,8517620000,11.9,17.5,11,0.8,0.3
1,ECLER,Extenders,CVEOXWT44E,VEO-XWT44E,4K HDbaseT Transmitter Wall Panel,Pcs,China,8517620000,10.5,18.3,13.3,4,3.2
1,ECLER,Loudspeakers,CVIC6,VIC6,"6,5” 2-way 40 W@100V  steerable tweeter Ceiling Loudspeakers , No Back can -White (Priced in Pc sold in pair)",Pcs,China,8518210000,26,25,25,5.2,4.4
1,ECLER,Loudspeakers,CVIC6X,VIC6X,"6,5” 2-way  40 W@100V  steerable tweeter Ceiling Loudspeakers , with Back can -White (Priced in Pc sold in pair)",Pcs,China,8518210000,22.5,28.5,55.5,5.5,4.5
1,ECLER,Loudspeakers,CVIC8,VIC8,"8” 2-way 60 W @100V   steerable tweeter Ceiling Loudspeakers , No Back can -White (Priced in Pc sold in pair)",Pcs,China,8518210000,28,30.5,30.5,7,5.8
1,ECLER,Loudspeakers,CVIC8X,VIC8X,"8” 2-way 60 W@100V   steerable tweeter Ceiling Loudspeakers , with Back can -White (Priced in Pc sold in pair)",Pcs,China,8518210000,24,30,58.5,3.7,2.6
1,ECLER,Loudspeakers,CVICSB81,VICSB8,"8"" ceiling sub loudspeaker, 60W @100V   with built in cross over - No Back can",Pcs,China,8518210000,15,30,30,8.5,7.4
1,ECLER,Loudspeakers,CVICSB8X,VICSB8X,"8"" ceiling sub loudspeaker, 60W@100V   with built in cross over - with Back can",Pcs,China,8518210000,24,30,58.5,12.2,9.5
1,ECLER,Amplifiers,CVIDA16Q,VIDA-16Q,"4 channel Digital Amplifier with DSP, Dante and Player, HiZ/LoZ 1600/4 Ch ( Asymmetrical load sharing)",Pcs,Spain,8518400000,14,60,65,12.2,9.5
1,ECLER,Amplifiers,CVIDA24Q,VIDA-24Q,"4 channel Digital Amplifier with DSP, Dante and Player, HiZ/LoZ 2400/4 Ch ( Asymmetrical load sharing)",Pcs,Spain,8518400000,14,60,65,12.2,9.5
1,ECLER,Amplifiers,CVIDA48Q,VIDA-48Q,"4 channel Digital Amplifier with DSP, Dante and Player, HiZ/LoZ 4800/4 Ch ( Asymmetrical load sharing)",Pcs,Spain,8518400000,14,60,65,0.7,0.4
1,ECLER,Matrixes,CVIVOX8,VIVO-X8,EclerPLEX Audio DSP with 8x8 analog and 8x8 Dante - 2 x expansion port for  BIO-X8 ( 32x32 matrix),Pcs,Spain,8518400000,TBC,TBC,TBC,TBC,TBC
1,ECLER,Wireless Pro Audio,CWILD14BK,WiLD-14,"WiLD Series RX Rail 4"" Loudspeaker BK",Pcs,China,8517699000,TBC,TBC,TBC,TBC,TBC
1,ECLER,Wireless Pro Audio,CWILD14WH,WiLD-14,"WiLD Series RX Rail 4"" Loudspeaker WH",Pcs,China,8517699000,TBC,TBC,TBC,TBC,TBC
1,ECLER,Wireless Pro Audio,CWILDSB18BK,WiLD-SB18,"WiLD Series RX 8"" SubWoofer",Pcs,China,8517699000,TBC,TBC,TBC,TBC,TBC
1,ECLER,Wireless Pro Audio,CWILDTX,WiLD-TX,WiLD Series Audio Trasmitter,Pcs,China,8517699000,TBC,TBC,TBC,TBC,TBC
1,ECLER,Remote Controls And Interfaces,CWP22DN,WP22DN,DANTE Wall Panel Interface 2 IN 2 OUT,Pcs,Spain,8518400000,21,12,8,0.2,0.1
1,ECLER,Accesories,CWP24PSU,WP24-PSU,24VDC External PSU,Pcs,China,8518400000,5,15,20,0.19,0.1
1,ECLER,Accesories,CWPA2FMBOX,WPA2FMBOX,Flush mount box + frame 2x WPa/WPNET,Pcs,China,8302500000,20,10,5,0.19,0.1
1,ECLER,Accesories,CWPA2SMBOX,WPa2SMBOX,Surface mount box + frame 2x WPa/WPNET,Pcs,China,8302500000,20,10,5,0.1,0.03
1,ECLER,Remote Controls And Interfaces,CWPABT,WPaBT,Wall panel Bluetooth receiver,Pcs,Spain,8517620000,21,12,8,0.26,0.13
1,ECLER,Remote Controls And Interfaces,CWPACNXCBO,WPaCNX-CBO,Wall Plate with Female 3 pin XLR connector + Jackk ST (combo connector),Pcs,China,8518400000,21,12,8,0.26,0.13
1,ECLER,Remote Controls And Interfaces,CWPACNXJRCA,WPaCNX-JRCA,Wall Plate with 1 x stereo minijack and 2 x RCA connectors.,Pcs,China,8518400000,21,12,8,0.7,0.6
1,ECLER,Remote Controls And Interfaces,CWPAHAT100,WPaH-AT100,100W 100V att wall panel,Pcs,Spain,8518400000,7,11,20,0.6,0.5
1,ECLER,Remote Controls And Interfaces,CWPAHAT6,WPAH-AT6,WPa wall panel att. 6W 70-100V,Pcs,Spain,8518400000,7,11,20,0.6,0.5
1,ECLER,Remote Controls And Interfaces,CWPAHAT40,WPAH-AT40,WPa wall panel att. 40W 70-100V,Pcs,Spain,8518400000,7,11,20,0.25,0.12
1,ECLER,Remote Controls And Interfaces,CWPAMIXT,WPaMIX-T,2 channel micro-mixer w wall-panel - mix a stereo unbalanced signal (2 x RCA) with a microphone signal (XLR),Pcs,Spain,8518400000,21,12,8,0.25,0.12
1,ECLER,Remote Controls And Interfaces,CWPAMIXTUS,WPAMIXTUS,2 channel micro-mixer w wall-panel - mix a stereo unbalanced signal (2 x RCA) with a microphone signal (XLR) -US,Pcs,China,8518400000,70,14.5,13.5,0.26,0.13
1,ECLER,Remote Controls And Interfaces,CWPAVOL,WPaVOL,Remote Wall Volume Control,Pcs,China,8518400000,8,12,21,0.26,0.13
1,ECLER,Remote Controls And Interfaces,CWPAVOLJ,WPaVOL-J,Volume and mjack wall panel with stereo mini jack connectivity,Pcs,China,8518400000,21,12,8,0.27,0.14
1,ECLER,Remote Controls And Interfaces,CWPAVOLSR,WPaVOL-SR,Volume source wall panel,Pcs,China,8518400000,21,12,8,0.26,0.13
1,ECLER,Remote Controls And Interfaces,CWPAVOLSRJ,WPaVOL-SR-J,Volume source and mjack wall panel,Pcs,China,8518400000,21,12,8,0.27,0.14
1,ECLER,Remote Controls And Interfaces,CWPAVOLSRUS,WPAVOLSRUS,Volume source ctrl wall panel US,Pcs,China,8518400000,21,12,8,0.26,0.13
1,ECLER,Remote Controls And Interfaces,CWPAVOLUS,WPAVOLUS,Volume ctrl wall panel US,Pcs,China,8518400000,21,12,8,0.26,0.13
1,ECLER,Remote Controls And Interfaces,CWPNET4KVR,WPNET4KV Rounded Circ,EclerNet Wall Panel Digital Controller- 4 Keys Vol rotary button,Pcs,Spain,8518400000,22,12,8,0.32,0.22
1,ECLER,Remote Controls And Interfaces,CWPNET4KVUS,WPNET4KV,EclerNet Wall Panel Digital Controll er- 4 Keys Vol rotary button -US,Pcs,Spain,8518400000,22,12,8,0.32,0.22
1,ECLER,Remote Controls And Interfaces,CWPNET8KR,WPNET8K Rounded Circ,EclerNet Wall Panel Digital Contol 8 Keys,Pcs,Spain,8518400000,22,12,8,0.3,0.2
1,ECLER,Remote Controls And Interfaces,CWPNET8KUS,WPNET8K,EclerNet Wall Panel Digital Contol 8 Keys -US,Pcs,Spain,8518400000,22,12,8,0.32,0.22
1,ECLER,Remote Controls And Interfaces,CWPNETTOUCH,WPNETTOUCH,"EclerNet touch screen digital control - 10""  TFT touchscreen",Pcs,China,8518400000,7,23,39,1.2,1
1,ECLER VIDEO,Video Distribution Over IP,CWPTI1CG2,WPTICG2,H265Video Over IP Wall Plate Transmitter,Pcs,China,8517620000,21,12,8,TBC,TBC
1,ECLER,Loudspeakers,CZEN15GR,ZEN-15,"2way 5"" Outdoor above-ground mounting Loudspeaker - pebble shape, 60W @ 100V , IP65 Grey",Pcs,Spain,8518220000,35,37,50,6.6,4.05
1,ECLER,Loudspeakers,CZEN15SD,ZEN-15,"2way 5"" Outdoor above-ground mounting Loudspeaker - pebble shape, 60W @ 100V , IP65 Sand",Pcs,Spain,8518220000,35,37,50,6.6,4.05
